Gene,logFC,logCPM,p value,FDR
PPFIBP1,-2.54592066,7.287577483,0.00E+00,0.00E+00
PITX1,-2.544053042,6.849609527,0.00E+00,0.00E+00
EPB41L3,-2.542741608,8.88969953,0.00E+00,0.00E+00
CYP11A1,-2.538260898,10.18698045,0.00E+00,0.00E+00
ALAS1,-2.492510112,8.467700625,0.00E+00,0.00E+00
SCD,-2.47101013,10.73025454,0.00E+00,0.00E+00
EZR,-2.448274604,11.24137601,0.00E+00,0.00E+00
PIM3,-2.441351303,9.343060955,0.00E+00,0.00E+00
SLC7A5,-2.408718695,11.67025751,0.00E+00,0.00E+00
FGD6,-2.400000408,7.644965284,0.00E+00,0.00E+00
PLIN2,-2.387095188,10.16201056,0.00E+00,0.00E+00
CBLB,-2.383986213,6.863992655,0.00E+00,0.00E+00
ST3GAL1,-2.3693101,7.499728898,0.00E+00,0.00E+00
STK40,-2.346647833,7.292988106,0.00E+00,0.00E+00
DIRC2,-2.32541398,8.14318322,0.00E+00,0.00E+00
MAN1A2,-2.320829783,10.29061585,0.00E+00,0.00E+00
C1orf115,-2.296627548,9.006679599,0.00E+00,0.00E+00
RASA1,-2.261737177,8.280362117,0.00E+00,0.00E+00
PDIA3,-2.253838541,10.34818502,0.00E+00,0.00E+00
ATF3,-2.221505845,7.987092397,0.00E+00,0.00E+00
CDH5,-2.189859911,9.117908755,0.00E+00,0.00E+00
LPCAT1,-2.158541104,9.502535338,0.00E+00,0.00E+00
FAM107B,-2.85301951,5.802862476,2.16E-317,2.00E-315
PTPN21,-2.254107653,6.61215912,3.14E-316,2.88E-314
EAF1,-2.079160631,7.931180139,8.89E-316,8.11E-314
RRBP1,-2.232861716,10.5235442,3.74E-315,3.39E-313
GPRC5C,-5.146455641,4.472891241,2.18E-314,1.96E-312
NOTCH1,-2.643303955,8.681907459,1.82E-313,1.63E-311
KAZN,-3.13663364,5.764080171,3.18E-313,2.82E-311
TREM1,-5.098238584,4.408456466,3.63E-313,3.20E-311
FAM49A,-2.454443333,6.058604718,6.19E-312,5.43E-310
ZNF703,-4.228275712,5.398610269,1.07E-311,9.27E-310
RAI14,-2.131867286,8.582139409,3.77E-311,0.00E+00
NR4A3,-4.004374264,4.314648823,1.88E-307,1.61E-305
DUSP16,-2.125035614,7.219084443,3.26E-307,2.78E-305
CEBPB,-2.338782039,7.167306986,3.15E-304,2.67E-302
FURIN,-2.013781048,8.940652665,2.71E-298,2.28E-296
GPRC5A,3.95101196,4.631881043,4.46E-298,3.73E-296
SH2B2,-2.223460536,6.93710547,6.33E-297,5.26E-295
ARHGAP24,-3.272729684,5.023106295,4.59E-295,3.80E-293
MAP7,-1.98040834,7.723315629,8.93E-295,7.34E-293
IDS,-2.348415108,6.549877249,5.02E-294,4.10E-292
TGFB1,-3.278855813,6.091390785,1.16E-293,9.43E-292
SLC15A3,2.389478191,6.036217236,1.95E-292,1.57E-290
SCAP,-2.153078331,8.765191186,3.64E-292,2.92E-290
NOS3,-2.502979793,6.20729122,1.27E-291,1.01E-289
MKNK2,-2.397832918,9.209437708,6.71E-291,5.31E-289
TAGLN,2.127528183,8.058941348,5.78E-290,4.55E-288
SRPRA,-2.406513318,7.079620683,2.62E-289,2.05E-287
CALR,-2.060933589,10.87365836,1.53E-286,1.19E-284
HEY1,-3.187681683,4.860179518,4.92E-286,3.81E-284
RNF144B,2.482735717,5.722064227,8.48E-286,6.52E-284
MMP14,2.050423794,10.39311383,1.67E-283,1.28E-281
MGAT1,-2.091557628,9.028751852,1.53E-282,1.17E-280
STX11,-3.742080513,4.346549617,2.94E-280,2.22E-278
SLC7A4,2.011794968,7.409276376,1.14E-279,8.60E-278
CYP2C18,-2.339945709,6.312314888,8.89E-279,6.65E-277
SDC3,-2.443309917,6.420205207,9.32E-279,6.93E-277
NECTIN4,-2.249777412,8.346517711,1.18E-278,8.74E-277
SP6,-2.074807483,9.434247008,3.78E-277,2.78E-275
DEDD2,-2.146698437,6.844482208,1.13E-276,8.26E-275
COBLL1,-2.886364372,7.336957297,2.43E-275,1.77E-273
GBP2,2.29990402,6.237951445,3.87E-275,2.79E-273
SLC38A9,-2.237542243,9.671724963,7.70E-274,5.54E-272
MAFF,-2.156079442,6.716569355,7.10E-273,5.08E-271
ASCL2,2.787537212,6.039314413,8.22E-273,5.84E-271
ILVBL,-2.449405917,7.524402503,8.62E-273,6.10E-271
TPM1,1.897995544,10.20078634,7.80E-272,5.49E-270
CD59,-1.969370528,7.443940811,3.74E-270,2.62E-268
HDAC5,-2.132799058,9.747284009,3.90E-269,2.71E-267
FNBP1,-2.58194673,7.009509218,4.11E-269,2.85E-267
ERN1,-2.227496709,6.580282409,5.34E-269,3.68E-267
MLLT1,-2.029338324,8.567878561,7.39E-269,5.06E-267
ZFP36L2,-3.338975157,5.516063432,5.92E-268,4.04E-266
HS6ST1,-2.106920909,6.626385695,1.52E-266,1.03E-264
SMPDL3B,-1.946396677,7.181181611,5.60E-265,3.78E-263
MTMR4,-1.889127354,8.064615205,5.84E-265,3.92E-263
CPEB4,-2.000056834,6.876049662,1.01E-263,6.73E-262
HERPUD1,-2.15036998,6.950978612,6.11E-262,4.06E-260
NXPH3,3.503992841,4.681283707,1.26E-260,8.36E-259
PLEC,-2.392425517,10.62523924,4.46E-260,2.93E-258
FERMT1,2.431370991,5.763351148,1.38E-259,9.07E-258
CAMSAP2,-1.893544715,8.325635715,2.80E-258,1.82E-256
PPFIBP2,2.075698225,6.526012834,6.56E-258,4.26E-256
FADS2,1.868386215,8.908435787,6.85E-258,4.42E-256
ANKRD45,3.030081894,5.216605674,3.47E-256,2.23E-254
GBP1,2.232813677,5.959857503,7.90E-256,5.05E-254
PPM1B,-1.899905872,7.458170137,1.10E-255,7.03E-254
FOXI3,-2.701559042,5.757251027,3.63E-255,2.30E-253
TRIM22,2.713263229,5.476002107,2.80E-252,1.76E-250
ZNF556,-2.843615405,5.256160094,5.15E-252,3.23E-250
TACC2,-2.158155013,8.697345256,1.61E-251,1.00E-249
SLC12A3,2.299587544,5.825705406,3.80E-251,2.36E-249
PHLDB2,-1.791614078,8.121232719,4.66E-250,2.88E-248
BHLHE40,-2.385015759,6.548432603,6.00E-250,3.69E-248
TEAD3,-1.961986427,9.065172073,6.29E-250,3.85E-248
GRAMD2B,-1.96683771,6.892892836,3.32E-249,2.02E-247
ELOVL7,-3.72518042,4.100349824,4.05E-249,2.46E-247
LDHD,-2.786016551,5.41490082,2.53E-246,1.53E-244
ADGRE2,-2.916030952,4.860088878,2.90E-246,1.74E-244
KAT14,1.796524702,7.70206069,1.36E-245,8.14E-244
TBX1,-3.641299236,4.339106852,2.87E-244,1.71E-242
MARC1,-1.805673464,8.090985934,3.30E-244,1.96E-242
MAP3K8,-2.232269914,5.691921285,5.58E-244,3.30E-242
ST3GAL4,-2.062696347,7.486754468,4.66E-240,2.74E-238
CSRNP1,-2.187649285,6.645074269,4.71E-239,2.76E-237
CCSAP,-2.018257458,9.702105994,2.05E-238,1.20E-236
COL27A1,2.639067152,6.21253553,4.77E-237,2.77E-235
SYNE1,2.947665746,4.830803069,2.89E-236,1.67E-234
SDC4,1.705001205,9.021817123,7.90E-236,4.54E-234
KIF13A,-1.866782818,7.85698564,9.29E-236,5.32E-234
GNE,-1.899145275,8.535207916,6.82E-235,3.89E-233
KRT19,1.955734357,9.617918324,1.15E-234,6.51E-233
GREB1,-2.32265881,5.758259072,1.95E-234,1.10E-232
ACTG2,2.013519408,6.935468971,8.28E-234,4.66E-232
F3,2.282844734,5.482608865,6.77E-231,3.79E-229
HES1,-2.951636658,4.729504142,1.25E-229,6.98E-228
PRLR,-4.385023593,3.562244057,2.22E-229,1.23E-227
PATJ,1.826504207,7.344486194,3.67E-229,2.03E-227
TCP11L2,-2.949947916,4.528580975,3.34E-228,1.84E-226
DUSP8,-2.858021788,5.08946019,2.85E-227,1.56E-225
