Gene,logFC,logCPM,p value,FDR
SAYSD1,1.161796259,3.464704356,6.45E-30,3.61E-29
NFATC3,-0.694605309,6.426365628,6.79E-30,3.79E-29
PPP4R1,0.682780657,6.803461463,7.14E-30,3.99E-29
GUCY1A2,2.674387883,1.306462874,7.63E-30,4.26E-29
TMEM94,-0.745840998,7.141241009,8.87E-30,4.95E-29
ACTN4,0.59225102,9.209155964,9.10E-30,5.08E-29
CAB39L,0.866185575,5.30628417,9.79E-30,5.46E-29
GNPDA1,0.752364934,5.812451682,1.04E-29,5.80E-29
RBMX,0.674219957,7.501230604,1.05E-29,5.85E-29
SERPINC1,2.603830251,1.246993334,1.14E-29,6.34E-29
NLRP2,0.602829393,10.67343747,1.18E-29,6.58E-29
ARHGEF12,-0.613789093,7.243296902,1.30E-29,7.24E-29
KDM1B,-0.713476229,5.772744636,1.34E-29,7.44E-29
ZSCAN12P1,-1.606068585,2.72600847,1.40E-29,7.81E-29
RN7SL2,-0.877701557,10.87939691,1.53E-29,8.51E-29
TMEM139,1.020769494,3.955909126,1.55E-29,8.61E-29
C4orf19,-1.571364076,3.010171347,1.64E-29,9.09E-29
ARHGAP28,0.822326525,4.840812654,1.65E-29,9.16E-29
ATP1A4,-0.951628087,4.213997897,1.76E-29,9.78E-29
ZNF44,1.079477928,3.852178126,1.78E-29,9.89E-29
GAS6,1.313533699,3.024880753,1.94E-29,1.08E-28
TFAP4,0.811957005,5.01433803,2.06E-29,1.14E-28
BCAM,0.716485546,6.783256179,2.11E-29,1.17E-28
OTUD3,-0.839349554,5.05864578,2.11E-29,1.17E-28
TMED5,-0.738827677,8.189814254,2.11E-29,1.17E-28
EIF4EBP1,0.895468477,4.763971215,2.12E-29,1.17E-28
ATP6V0C,-1.058715315,5.461962127,2.15E-29,1.19E-28
PQLC2,-0.792770384,5.254678893,2.25E-29,1.24E-28
EIF4EBP2,-0.620870743,7.506427709,2.50E-29,1.38E-28
RMI2,-0.848691609,4.782152,2.70E-29,1.49E-28
DSCR4,-1.079076529,3.697442172,2.74E-29,1.51E-28
PAK4,-0.836660154,6.270065303,2.92E-29,1.61E-28
HIST3H2A,-0.852157121,6.30844993,3.02E-29,1.66E-28
PARP4,0.854159085,5.031527173,3.22E-29,1.78E-28
STK39,1.123655753,3.686192623,3.34E-29,1.84E-28
KLF8,1.50865611,2.679528569,3.70E-29,2.04E-28
SUSD1,0.657250352,6.264277588,3.95E-29,2.18E-28
LAMC2,0.62206621,7.204725674,4.02E-29,2.21E-28
UBR1,-0.702122906,6.50790367,4.03E-29,2.22E-28
IRAIN,-2.550746175,1.236756176,4.08E-29,2.25E-28
OSBPL6,1.147419538,3.607587611,4.41E-29,2.43E-28
P3H1,0.820125286,5.270788785,4.78E-29,2.63E-28
PRDX3,0.715987672,6.058131682,5.50E-29,3.02E-28
HEATR5B,-0.651218513,6.922642262,5.89E-29,3.23E-28
CDC42BPB,-0.656314564,7.323476884,6.14E-29,3.37E-28
RMND5A,-0.722569885,7.681886926,6.17E-29,3.39E-28
TERT,1.358616032,3.292496443,6.39E-29,3.51E-28
MDFIC,1.088834,3.708090104,6.43E-29,3.53E-28
C11orf68,-1.205896086,3.907009935,6.92E-29,3.80E-28
SHOX,2.898091573,1.130456793,7.00E-29,3.84E-28
PBXIP1,0.827096483,6.036006128,7.09E-29,3.88E-28
ZC3HAV1,0.736924585,6.377180792,7.11E-29,3.89E-28
TOLLIP,-0.856814779,4.910829939,7.22E-29,3.95E-28
CAST,0.642575558,6.842038391,7.42E-29,4.06E-28
BAG2,1.091478328,3.968621913,7.50E-29,4.10E-28
CYB5R1,0.584267114,8.386684079,7.79E-29,4.26E-28
PTK2B,0.913947673,5.046442294,8.16E-29,4.45E-28
BANP,-0.664735151,6.812459003,8.22E-29,4.49E-28
SLC27A6,0.68241671,6.849978482,8.25E-29,4.50E-28
ZXDC,-0.681800797,6.149107217,8.32E-29,4.54E-28
UBE2Q2,-0.699564594,6.61818,8.43E-29,4.60E-28
CUL3,-0.625471921,6.985469466,9.11E-29,4.97E-28
RNF220,0.602258827,7.182443369,9.55E-29,5.20E-28
TRIM16,1.195445837,3.266394884,9.55E-29,5.20E-28
TRAM1,-0.72554775,7.298352997,9.56E-29,5.21E-28
RIN1,1.944333392,1.946764086,1.04E-28,5.64E-28
TES,-0.632887102,7.669123742,1.07E-28,5.80E-28
NFXL1,-1.109916321,4.06066169,1.13E-28,6.13E-28
CACNG4,1.404775107,2.906672285,1.20E-28,6.50E-28
VANGL1,0.863993347,4.954773868,1.21E-28,6.56E-28
LGMN,-0.618460132,7.132322244,1.21E-28,6.56E-28
CPVL,0.606271872,7.877706523,1.22E-28,6.63E-28
RBL1,-0.647308809,6.338303137,1.24E-28,6.74E-28
LRIF1,-0.730999163,5.897224818,1.28E-28,6.93E-28
EIF2AK3,-0.689151422,5.837127572,1.49E-28,8.07E-28
EIF2AK4,0.620546439,6.945684443,1.56E-28,8.48E-28
SHROOM3,0.940440128,4.402577568,1.70E-28,9.20E-28
CDH3,0.943195416,4.293458303,1.70E-28,9.22E-28
NUDT14,0.848452981,4.914483669,1.72E-28,9.31E-28
HERC5,0.808400564,4.906951467,1.79E-28,9.68E-28
AGO1,-0.650485131,6.847443366,1.80E-28,9.72E-28
PRR15,1.246906553,3.601316134,1.90E-28,1.03E-27
RASSF4,1.510742925,2.531580262,1.94E-28,1.05E-27
CERK,1.114415626,3.464823516,1.95E-28,1.06E-27
MAPK1,-0.633371421,6.604956409,2.01E-28,1.08E-27
FAM213A,1.258824458,3.227575336,2.10E-28,1.13E-27
TAOK2,-0.685362118,7.929833923,2.23E-28,1.21E-27
CRYBG3,0.706164943,5.714173425,2.25E-28,1.22E-27
GLUL,0.574842619,8.306261918,2.32E-28,1.25E-27
SIRT5,1.262646963,3.379841731,2.36E-28,1.27E-27
DGKD,0.732709235,6.153300204,2.60E-28,1.40E-27
KCNA7,-4.660319264,0.20919748,2.61E-28,1.40E-27
RIT1,-0.915208191,4.503304762,2.62E-28,1.41E-27
CENPF,0.564723619,8.819500903,2.66E-28,1.43E-27
MYBL1,-1.345361256,2.770276459,2.79E-28,1.50E-27
NLRC5,2.495096174,1.272477605,3.09E-28,1.66E-27
LINC02159,-5.111244762,-0.00604267,3.13E-28,1.68E-27
ALDH4A1,0.735282782,5.886918885,3.19E-28,1.71E-27
CNN1,4.218144107,0.546004015,3.21E-28,1.72E-27
UBALD1,-0.966949892,4.534856672,3.25E-28,1.74E-27
PRDM10,-0.770124972,5.448132927,3.26E-28,1.75E-27
SUGP2,0.708064045,6.382713547,3.32E-28,1.78E-27
TRMO,-0.911126414,4.271223458,3.66E-28,1.96E-27
KIAA1143,0.907147454,4.403255082,3.68E-28,1.97E-27
YTHDC1,-0.615502048,7.002977652,4.00E-28,2.14E-27
CCDC117,-0.711040931,5.774273066,4.04E-28,2.16E-27
LINC00624,2.114015916,1.826393978,4.08E-28,2.19E-27
CTDP1,-0.735154907,5.628618917,4.14E-28,2.22E-27
POLK,0.801859818,5.026372046,4.30E-28,2.30E-27
LAMB3,1.989136177,2.080243082,4.76E-28,2.54E-27
ILF3,-0.669385509,7.938151875,5.03E-28,2.69E-27
GAS1,1.834339093,2.030857214,5.31E-28,2.84E-27
MZT2A,0.91845809,4.319587613,5.51E-28,2.94E-27
PHF12,-0.954768247,4.750906962,6.10E-28,3.25E-27
SPCS2,-1.307217481,3.309063208,6.21E-28,3.31E-27
HUNK,0.704929929,6.033944256,6.93E-28,3.70E-27
PPL,-0.678719992,6.795995614,6.99E-28,3.73E-27
ZRANB3,0.85267262,4.520138529,7.37E-28,3.93E-27
STIL,-0.650704883,6.213879203,7.39E-28,3.94E-27
ANKRD33,-2.631633975,1.126310284,7.49E-28,3.99E-27
AREL1,-0.638082512,6.530540568,7.57E-28,4.03E-27
COX18,0.962623842,4.479853895,8.13E-28,4.33E-27
JPT2,-0.554063624,8.331817857,8.55E-28,4.54E-27
SH3BP2,-1.009454542,4.631533415,9.23E-28,4.91E-27
FGD3,1.133788492,3.350900621,9.29E-28,4.94E-27
TGIF1,-0.586180251,8.133199595,9.70E-28,5.15E-27
OPTN,0.857476991,4.698484014,9.87E-28,5.24E-27
PRAG1,1.028557802,4.211170034,9.99E-28,5.30E-27
ACBD3,-0.693478243,6.97674055,1.18E-27,6.24E-27
LARP4B,-0.656423525,6.579872793,1.22E-27,6.47E-27
LACTB,-0.885496821,4.450999549,1.23E-27,6.52E-27
NDFIP2,0.614151098,7.021014708,1.23E-27,6.52E-27
GULP1,-0.886193385,6.027522355,1.34E-27,7.07E-27
CENPV,1.186964062,3.414647572,1.40E-27,7.40E-27
C1orf43,-0.603470247,6.795007506,1.50E-27,7.92E-27
ITGA3,0.625301986,6.907434201,1.57E-27,8.31E-27
PUM1,-0.596034035,7.653675995,1.57E-27,8.32E-27
SPATA2L,-1.007739004,4.749202003,1.68E-27,8.88E-27
LOC729870,-1.60003905,2.405610132,1.69E-27,8.92E-27
FBXO11,-0.752250728,6.465411332,1.69E-27,8.92E-27
SACS,0.770159435,5.204125851,1.70E-27,8.95E-27
SMTN,0.669221457,6.285840565,1.76E-27,9.27E-27
STT3A,-0.566359639,8.691613277,1.80E-27,9.47E-27
TM7SF3,0.66211691,6.336737912,1.81E-27,9.56E-27
TGM2,-0.824212957,5.463974108,1.84E-27,9.70E-27
CPOX,0.726500407,5.909633766,2.01E-27,1.06E-26
WAC,-0.583297051,7.919598312,2.06E-27,1.09E-26
TRIM11,-0.636601347,7.59709312,2.16E-27,1.14E-26
TM9SF4,-0.632681623,6.853574024,2.17E-27,1.14E-26
COASY,-0.896788746,5.413944784,2.25E-27,1.18E-26
ABHD6,0.714265348,5.874321592,2.26E-27,1.19E-26
CCDC130,-0.969903818,4.958564579,2.28E-27,1.20E-26
MOB1A,0.68214874,7.774104765,2.28E-27,1.20E-26
CAPS,1.654490443,2.197732022,2.28E-27,1.20E-26
TRAF3,0.682205855,6.240018987,2.33E-27,1.22E-26
GTPBP6,-0.655565425,6.819217487,2.58E-27,1.35E-26
ZFP30,0.964521092,3.919051819,2.58E-27,1.35E-26
AGO4,0.881731131,4.376608939,2.85E-27,1.50E-26
DAB2IP,0.760924482,5.667690099,2.97E-27,1.56E-26
EXOC3L4,-1.678187048,2.15836382,2.98E-27,1.56E-26
YWHAE,-0.636200915,8.307334632,3.17E-27,1.66E-26
TK1,-0.738196817,5.407757043,3.19E-27,1.67E-26
GMEB1,-0.750165462,5.317201096,3.21E-27,1.68E-26
ARHGAP42,-0.833528023,4.855173502,3.25E-27,1.70E-26
RAD1,-0.670935692,6.461046798,3.34E-27,1.75E-26
SMCHD1,-0.592201886,7.659627863,3.42E-27,1.79E-26
DUSP14,0.776251064,5.334358497,3.56E-27,1.86E-26
CSTF3,-0.726114216,5.778327499,3.58E-27,1.87E-26
YIPF2,-0.657221845,6.604041538,3.98E-27,2.08E-26
ACSL3,-0.590205092,7.573593513,4.20E-27,2.19E-26
CLK1,-0.727165048,5.82685398,4.23E-27,2.21E-26
MFSD6,-0.839946369,4.956876027,4.37E-27,2.28E-26
FAM129A,1.538824294,2.403019632,4.43E-27,2.31E-26
USP34,-0.587424785,7.598015267,4.45E-27,2.32E-26
DBNDD1,1.122037209,3.612528004,4.48E-27,2.33E-26
CHST12,-0.78510466,5.066852945,4.49E-27,2.34E-26
PODXL2,0.711856708,6.39279974,4.51E-27,2.35E-26
TBC1D10B,-0.665446176,6.830963692,4.51E-27,2.35E-26
SGPL1,-0.68033623,5.783584603,4.55E-27,2.37E-26
OSTC,-0.750868063,6.334359912,4.58E-27,2.38E-26
BLOC1S3,-1.024355763,4.02007478,4.84E-27,2.51E-26
ZFAS1,0.675479623,6.610590645,5.09E-27,2.64E-26
CD55,-0.594549542,9.151582852,5.12E-27,2.66E-26
TTC37,0.633274784,7.66404979,5.18E-27,2.69E-26
MAP7D1,-0.643506705,7.141715961,5.18E-27,2.69E-26
PHF23,-0.794919563,5.998985806,5.42E-27,2.81E-26
RAB22A,-0.726868786,5.420177192,5.45E-27,2.82E-26
ST6GALNAC4,-1.032807125,3.727615279,5.66E-27,2.93E-26
COLEC11,1.333672071,2.862562543,5.93E-27,3.07E-26
RP2,-0.695538887,7.051906092,5.97E-27,3.09E-26
SLC25A5,-0.638659888,7.606583229,6.08E-27,3.15E-26
TMEM209,-0.732501944,5.677152101,6.23E-27,3.22E-26
DZIP1,0.856699172,4.436985659,6.39E-27,3.31E-26
SNTB1,2.693446619,1.194903219,7.06E-27,3.65E-26
WSB2,0.677657322,6.142874564,7.07E-27,3.65E-26
COL4A1,0.62713261,9.850303472,7.16E-27,3.70E-26
FUK,0.873165875,4.717646173,7.31E-27,3.77E-26
PYGL,0.624218739,7.001592117,8.06E-27,4.16E-26
ZNF319,1.583032089,2.4537486,8.13E-27,4.20E-26
FCHSD2,0.783994175,4.87668995,8.61E-27,4.44E-26
PID1,-1.828356612,2.424987255,9.08E-27,4.68E-26
AACSP1,1.209511335,3.259772497,9.44E-27,4.87E-26
MFSD14B,-0.587842243,7.017237108,9.48E-27,4.89E-26
PAQR8,1.508373846,2.609686386,9.64E-27,4.97E-26
WNT6,0.765013361,5.66241235,9.74E-27,5.01E-26
HIST1H2AK,0.848428745,4.927496143,9.80E-27,5.04E-26
USHBP1,1.039559164,3.717343174,9.99E-27,5.14E-26
ZNF513,-0.950173208,4.522260591,1.01E-26,5.18E-26
CASP7,0.845516592,4.526543827,1.02E-26,5.24E-26
NORAD,0.61613015,6.602899376,1.02E-26,5.24E-26
CELSR2,0.791037325,6.011913239,1.05E-26,5.41E-26
CNST,-0.664557309,6.068306086,1.06E-26,5.42E-26
RNF213,0.737151583,5.986122032,1.12E-26,5.75E-26
IDH3A,-0.761303223,5.163341276,1.14E-26,5.86E-26
TCHH,1.713892285,2.161951771,1.16E-26,5.95E-26
SP1,-0.592728223,7.501857204,1.20E-26,6.15E-26
ACP6,0.778402055,4.927806159,1.21E-26,6.17E-26
BCL2L12,-0.824041417,5.241269422,1.28E-26,6.56E-26
HLX-AS1,-1.609908774,2.73815645,1.29E-26,6.59E-26
NIPBL-AS1,1.331496759,2.839435,1.33E-26,6.80E-26
PHF8,-0.64024953,6.325307151,1.33E-26,6.82E-26
USP9X,-0.611020603,6.640773979,1.38E-26,7.07E-26
ARHGEF33,2.296580783,1.282202181,1.39E-26,7.09E-26
FRMPD1,-2.781489733,1.106527324,1.52E-26,7.77E-26
STX2,1.167012856,3.311936785,1.53E-26,7.83E-26
HDAC6,0.64630141,6.1414566,1.55E-26,7.89E-26
KDM2A,-0.677801944,6.235197133,1.57E-26,8.03E-26
AGT,-2.806208824,0.990835057,1.60E-26,8.14E-26
GAB2,-0.575555646,7.734055695,1.61E-26,8.22E-26
ELOA,-0.780833225,5.234057493,1.66E-26,8.48E-26
FIRRE,0.768115591,5.406962213,1.68E-26,8.54E-26
GOLGA2P5,1.351136005,2.971421401,1.71E-26,8.71E-26
SCUBE1,2.455841697,1.163299673,1.89E-26,9.61E-26
LAD1,0.678868189,6.567958233,1.90E-26,9.69E-26
RTF1,-0.684967132,5.798573667,1.95E-26,9.93E-26
BCL2L13,0.644661999,6.526245625,1.96E-26,9.95E-26
ZCCHC9,-0.633706874,6.180422249,2.07E-26,1.05E-25
NABP2,0.869219237,4.325522086,2.29E-26,1.17E-25
LINC01137,-2.80670107,0.756883524,2.35E-26,1.20E-25
GAS5,0.605240499,6.8259238,2.37E-26,1.20E-25
OSMR-AS1,-1.582703389,2.374756313,2.39E-26,1.21E-25
PRR31,-3.270617559,0.495420707,2.43E-26,1.23E-25
HMGB2,0.659350199,7.628965663,2.73E-26,1.38E-25
CCNG2,0.913153383,4.452771916,2.81E-26,1.42E-25
PAIP2,-0.829232389,5.146408888,2.85E-26,1.45E-25
CST6,1.181882162,3.190642761,2.87E-26,1.45E-25
SHROOM2,0.807350613,4.898374893,3.03E-26,1.54E-25
CALM2,0.686863255,8.253991274,3.10E-26,1.57E-25
ZNF702P,-0.684489395,6.080016432,3.11E-26,1.58E-25
DPF3,0.772108799,5.357634156,3.22E-26,1.63E-25
FAAH,0.63747036,6.317499081,3.33E-26,1.68E-25
CACNA1C,1.762194429,1.958059651,3.40E-26,1.72E-25
KIAA0319,-3.016529417,0.579273303,3.47E-26,1.76E-25
TGFB3,-2.384189065,1.358585345,3.52E-26,1.78E-25
SENP2,-0.63912775,6.167057313,3.55E-26,1.79E-25
CDH24,1.081831081,3.455881951,3.59E-26,1.81E-25
STRAP,-0.648427055,6.884966022,3.85E-26,1.94E-25
CDK11B,-1.081918062,3.586681283,3.88E-26,1.96E-25
PFKFB4,0.745365502,5.511433429,3.88E-26,1.96E-25
TNFRSF21,-0.532549129,8.651280707,3.90E-26,1.97E-25
FBRSL1,-0.75259322,6.771665082,3.98E-26,2.01E-25
HERC4,0.73172561,5.530074003,4.04E-26,2.04E-25
SERTAD3,-0.818078362,5.730469549,4.07E-26,2.05E-25
PAQR7,0.785047616,5.039420896,4.24E-26,2.13E-25
APOC1,0.961229026,4.110756394,4.27E-26,2.15E-25
LSG1,-0.619707182,6.262659717,4.34E-26,2.18E-25
SND1,-0.532404206,9.170518979,4.66E-26,2.34E-25
EXOC3,-0.727147923,6.467788022,4.69E-26,2.36E-25
CDC42BPG,-0.684676058,7.190296789,4.69E-26,2.36E-25
ZNF689,1.0061941,4.053320793,4.78E-26,2.40E-25
TREML3P,-3.540857664,0.444461927,4.84E-26,2.43E-25
LOC642852,1.018507012,4.156141231,4.99E-26,2.50E-25
RIC8A,-0.61641675,7.440715644,5.05E-26,2.53E-25
ZBTB8A,1.012706602,3.639565692,5.47E-26,2.74E-25
SLMAP,0.738676206,5.445910182,5.52E-26,2.76E-25
ANKRD13D,0.882115361,4.336600611,5.59E-26,2.80E-25
ZDHHC4,0.707687566,5.584667238,5.63E-26,2.82E-25
TBX2-AS1,1.648068568,2.324939311,5.82E-26,2.91E-25
TOM1L2,-0.829902452,4.829332951,5.92E-26,2.96E-25
FEM1B,-0.617375792,6.845106411,5.99E-26,2.99E-25
ATF6,-0.608382198,8.014755253,6.47E-26,3.23E-25
FADS1,-0.55933644,7.493103844,6.48E-26,3.24E-25
STT3B,-0.545310517,8.770713942,6.95E-26,3.47E-25
CTCF,-0.693057699,6.758491554,7.05E-26,3.52E-25
PTPN4,0.756388208,5.572371766,7.14E-26,3.56E-25
SF3B2,-0.593585997,7.622171892,7.14E-26,3.56E-25
SPTB,0.918838448,5.010108977,7.17E-26,3.57E-25
SLC35E3,-0.737722368,5.176283114,7.18E-26,3.58E-25
CYP2T1P,1.747009889,2.022588133,7.28E-26,3.63E-25
COA4,-0.711194344,5.320759953,7.32E-26,3.65E-25
ISG20L2,-0.676905749,5.706799515,7.32E-26,3.65E-25
UBA1,-0.570744891,7.523103378,7.61E-26,3.79E-25
IGSF9B,1.169348828,3.851141989,7.65E-26,3.81E-25
GMCL1,-0.673622045,5.656810028,7.99E-26,3.98E-25
DAAM1,-0.645784032,6.035302048,8.30E-26,4.13E-25
JAG2,0.73793241,7.19974955,9.03E-26,4.49E-25
PSG4,-1.94559208,1.738110466,9.30E-26,4.62E-25
C1orf116,-4.055201148,0.099386866,9.32E-26,4.63E-25
NTHL1,1.034701358,3.939975461,9.48E-26,4.71E-25
IQCB1,0.700199368,5.436199041,9.56E-26,4.75E-25
C2orf27A,0.862909056,4.385094947,9.60E-26,4.77E-25
SNHG16,0.611849269,6.689540038,1.02E-25,5.08E-25
MAN1B1,0.627728187,7.177957873,1.03E-25,5.09E-25
PHACTR2,0.616155868,6.957028941,1.05E-25,5.18E-25
SRF,0.59615349,7.161541437,1.07E-25,5.29E-25
OSER1,-0.672419632,5.823011044,1.09E-25,5.42E-25
ZNF746,-0.654054,5.809457941,1.11E-25,5.47E-25
GLO1,0.597241041,7.886442372,1.14E-25,5.62E-25
RPS6KA4,0.674426244,7.213086551,1.15E-25,5.67E-25
SRSF7,0.552106739,7.714086829,1.19E-25,5.89E-25
TMEM52,-1.314575496,2.646746371,1.20E-25,5.91E-25
TFDP2,0.579248839,7.316220246,1.22E-25,6.04E-25
SLC22A5,-0.638362581,5.991049711,1.23E-25,6.09E-25
ARVCF,1.100533404,3.953072363,1.41E-25,6.97E-25
CARD9,0.989219501,4.297610087,1.43E-25,7.07E-25
CDC14B,-0.631563798,6.363400448,1.45E-25,7.18E-25
FDXR,0.731758431,5.814716469,1.57E-25,7.74E-25
ZNF682,1.216020222,3.024760487,1.66E-25,8.19E-25
ARID4B,-0.613901246,7.105148345,1.69E-25,8.34E-25
MED1,-0.631020486,7.020169899,1.85E-25,9.12E-25
GPC4,1.232971801,3.151936657,1.87E-25,9.21E-25
TACR3,1.016748739,3.7066041,1.88E-25,9.28E-25
ACO1,-0.725047242,5.398209638,1.90E-25,9.37E-25
RB1CC1,-0.741170866,5.950407053,1.90E-25,9.37E-25
RHOXF1P1,1.41570122,2.886305455,2.00E-25,9.83E-25
SOD1,-0.584256795,7.639343722,2.01E-25,9.87E-25
TEAD4,0.634771202,6.22934041,2.08E-25,1.02E-24
CHD6,0.613264184,6.88035864,2.15E-25,1.06E-24
PBRM1,-0.573876862,7.149258977,2.27E-25,1.11E-24
GSTP1,0.551837635,8.650772764,2.28E-25,1.12E-24
KCNN4,-0.674800215,6.367543585,2.32E-25,1.14E-24
GGA2,0.738815125,5.574946111,2.35E-25,1.15E-24
CRNDE,1.823308377,2.296718208,2.44E-25,1.20E-24
NAT8L,1.164589039,3.830256232,2.68E-25,1.31E-24
MED14OS,-1.816022853,1.706034073,2.79E-25,1.36E-24
CLEC16A,-0.794622712,5.104055528,2.80E-25,1.37E-24
HNRNPU,-0.562103302,10.18688587,2.81E-25,1.38E-24
NT5DC4,-1.529357431,2.219543619,3.15E-25,1.54E-24
CLCA2,3.34156987,0.680830541,3.28E-25,1.60E-24
HECTD1,-0.579762058,8.378472862,3.61E-25,1.77E-24
YWHAG,-0.607821167,7.317822348,3.78E-25,1.85E-24
MIEF1,-0.569325355,6.949753983,3.81E-25,1.86E-24
SF3A3,0.593468057,7.160541423,3.91E-25,1.91E-24
TLE6,-0.755671613,5.506425449,4.04E-25,1.97E-24
ADAM17,-0.580628298,6.951559972,4.10E-25,2.00E-24
FZR1,-0.697033791,6.520742368,4.15E-25,2.02E-24
COL4A3BP,-0.663099393,5.944221091,4.23E-25,2.07E-24
ACVR2A,-0.864725481,4.535894603,4.24E-25,2.07E-24
PLOD1,0.753144428,4.894861759,4.31E-25,2.10E-24
LINC02255,-1.301248466,2.968062909,4.36E-25,2.12E-24
CPPED1,-1.157428502,3.277279875,4.48E-25,2.18E-24
TLX1NB,4.283173082,0.181140132,4.52E-25,2.20E-24
SELENOT,-0.665094736,6.994730604,4.84E-25,2.35E-24
RWDD2A,-1.367011326,2.77801059,5.06E-25,2.46E-24
MON2,-0.643099823,5.853518153,5.11E-25,2.49E-24
ZNF738,0.795908021,4.781482541,5.53E-25,2.69E-24
NR2F1,3.166623324,0.789853318,5.55E-25,2.70E-24
LMAN1L,3.801269214,0.352250141,6.09E-25,2.96E-24
METTL9,-0.595193712,6.452628868,6.09E-25,2.96E-24
PDS5A,-0.547892561,7.397442928,6.40E-25,3.11E-24
MNX1,0.922548548,4.208754405,6.42E-25,3.12E-24
STAT6,0.636190154,5.881398542,6.42E-25,3.12E-24
WIPI2,-0.605394621,6.50991484,6.57E-25,3.19E-24
ZNF598,-0.667329312,6.109989106,6.63E-25,3.21E-24
RAB9A,-0.827269857,4.666089415,6.63E-25,3.21E-24
RPS4Y1,0.62496853,6.435610039,7.13E-25,3.45E-24
VOPP1,1.673258965,2.100674925,7.21E-25,3.49E-24
UBE2D3,-0.599135689,7.187701829,7.22E-25,3.50E-24
MYH14,1.254673447,3.148401743,7.23E-25,3.50E-24
ELOC,-0.764488621,4.81979099,7.32E-25,3.54E-24
TRPM4,0.843568567,4.545758314,7.38E-25,3.57E-24
BLNK,-1.531978996,2.14598563,7.70E-25,3.72E-24
PLXND1,-0.566667645,7.606534349,8.10E-25,3.91E-24
PGBD2,-0.941435667,4.386959024,8.17E-25,3.95E-24
EVC,1.210940578,3.100836277,8.26E-25,3.99E-24
PIP4K2B,0.695065349,5.46115143,8.58E-25,4.14E-24
C5orf66,-1.583227507,2.429088151,8.64E-25,4.17E-24
ANAPC11,-0.616827815,6.3989411,8.79E-25,4.24E-24
GATA3,-0.828957484,7.143688441,8.85E-25,4.27E-24
PDCD6IP,-0.591767569,7.150640393,9.00E-25,4.34E-24
H3F3B,-0.549013467,8.246419378,9.23E-25,4.45E-24
POGZ,-0.726930061,5.644907522,9.47E-25,4.56E-24
CASP3,0.756670995,5.596374493,9.63E-25,4.64E-24
MEN1,-0.67832472,5.621329919,9.89E-25,4.76E-24
RB1,0.740009366,5.371931168,1.02E-24,4.91E-24
ZDHHC17,0.894763599,4.599146045,1.04E-24,5.00E-24
STARD9,-1.270246746,3.154199054,1.07E-24,5.17E-24
KCTD21,-1.630881656,1.911577362,1.08E-24,5.21E-24
MICAL2,0.652311678,6.601952811,1.10E-24,5.30E-24
ZNRD1ASP,1.36979485,2.718495743,1.15E-24,5.53E-24
RRNAD1,-0.699373343,5.290176266,1.21E-24,5.79E-24
ZNF302,0.974317958,3.976133599,1.21E-24,5.80E-24
ARL2BP,0.761064389,4.927696711,1.28E-24,6.14E-24
IFI27,2.922783589,0.796548418,1.29E-24,6.17E-24
PTGR2,0.959975145,3.700690217,1.30E-24,6.22E-24
STAM,-0.690479185,5.340236069,1.37E-24,6.56E-24
TDG,-0.633818943,6.142485004,1.41E-24,6.78E-24
COPG1,-0.552879003,7.925589272,1.46E-24,6.97E-24
NINL,0.830516343,4.632369412,1.50E-24,7.18E-24
TFIP11,-0.623593298,6.2104464,1.58E-24,7.57E-24
CARD11,1.28904036,2.753810871,1.66E-24,7.95E-24
LOXL2,1.11839408,3.787045042,1.70E-24,8.11E-24
GRK3,0.657336458,5.67414562,1.70E-24,8.12E-24
XIAP,-0.617903395,7.124009091,1.76E-24,8.43E-24
ACSS1,-1.412709194,2.53684432,1.77E-24,8.44E-24
PCF11,-0.583276104,6.435022938,1.81E-24,8.63E-24
CEP97,-0.78059429,4.944150311,1.81E-24,8.66E-24
NLE1,0.728051725,5.03915902,1.90E-24,9.05E-24
TP53,0.656176484,6.44302871,1.93E-24,9.20E-24
PCYT2,0.657327706,6.355184599,1.93E-24,9.22E-24
ST6GALNAC6,1.161244037,3.228650912,2.09E-24,9.96E-24
RNPS1,-0.651791126,6.500697973,2.09E-24,9.96E-24
DENND5A,0.552608937,7.274091564,2.10E-24,9.98E-24
SNHG10,1.132221292,3.313418788,2.14E-24,1.02E-23
XPA,-0.882003947,4.236358532,2.14E-24,1.02E-23
LINC01356,0.76615841,4.911546849,2.19E-24,1.04E-23
CRTC3,0.795841432,4.664930793,2.20E-24,1.05E-23
GRM4,2.841699074,0.8583784,2.20E-24,1.05E-23
DFFB,1.477497645,2.328882738,2.40E-24,1.14E-23
HRK,-1.954127284,1.693445313,2.45E-24,1.16E-23
KYNU,-2.662709174,0.833519767,2.51E-24,1.19E-23
PIK3CB,-0.656061098,6.139532124,2.51E-24,1.19E-23
TIMM17A,-0.566844932,7.221461043,2.58E-24,1.23E-23
DDRGK1,-0.688577262,5.786442511,2.63E-24,1.25E-23
EIF2A,-0.597980573,7.281011126,2.84E-24,1.35E-23
ZC3H18,-0.68495912,6.499224817,3.06E-24,1.45E-23
LINC01599,0.883608665,4.404564671,3.09E-24,1.46E-23
SH3BP5L,-0.603888144,6.936880089,3.16E-24,1.50E-23
TANGO6,0.930416566,3.985899459,3.23E-24,1.53E-23
GRAMD4,0.766109646,5.857915448,3.32E-24,1.57E-23
